Test,Original_rho_or_H,Original_p,Original_n,Unique_rho_or_H,Unique_p,Unique_n,Survives
Emission vs Eccentricity,0.32,1.61e-16,633,0.50,1.28e-05,69,Yes
Emission vs Minor Axis,-0.33,2.16e-17,633,-0.54,1.64e-06,69,Yes
Emission vs Circularity,-0.26,4.21e-11,633,-0.47,5.19e-05,69,Yes
QY vs B-Factor Ratio,-0.45,2.36e-14,265,-0.43,0.0771,18,No
Emission vs B-Factor Ratio,0.42,3.01e-27,600,0.56,8.52e-07,68,Yes
|τ|+|φ| vs Emission,0.16,4.82e-04,500,0.41,0.00211,55,Yes
KW Eccentricity by Color,112.2,1.43e-22,636,21.2,2.94e-04,69,Yes
KW Minor Axis by Color,107.8,1.21e-21,636,22.4,1.69e-04,69,Yes
KW Circularity by Color,104.2,6.96e-21,636,17.6,0.0015,69,Yes
MW Eccentricity (chrom vs no-chrom),,0.155,780,,0.21,216,No
MW Circularity (chrom vs no-chrom),,0.247,780,,4.60e-04,216,Yes
MW Minor Axis (chrom vs no-chrom),,3.92e-11,780,,0.36,216,No
