pdb_id,n_chains,used_chain,used_chain_len,recorded_seq_length,used_chain_has_chrom,used_chain_chrom_code,any_other_chain_has_chrom,all_chrom_chains,all_chains_summary,bug_flag
1B9C,4,A,224,225.0,True,CRO,True,"A(224aa,CRO);B(224aa,CRO);C(224aa,CRO);D(224aa,CRO)",A=224;B=224;C=224;D=224,False
1BFP,1,A,226,227.0,True,IIC,False,"A(226aa,IIC)",A=226,False
1C4F,1,A,224,225.0,True,CRO,False,"A(224aa,CRO)",A=224,False
1CV7,1,A,225,226.0,True,CRF,False,"A(225aa,CRF)",A=225,False
1EMA,1,A,225,226.0,True,CRO,False,"A(225aa,CRO)",A=225,False
1EMB,1,A,225,226.0,True,CRO,False,"A(225aa,CRO)",A=225,False
1EMC,4,C,225,226.0,True,GYS,True,"A(224aa,GYS);B(224aa,GYS);C(225aa,GYS);D(224aa,GYS)",A=224;B=224;C=225;D=224,False
1EME,1,A,222,223.0,True,GYS,False,"A(222aa,GYS)",A=222,False
1EMF,1,A,222,223.0,True,CSH,False,"A(222aa,CSH)",A=222,False
1EMG,1,A,225,226.0,True,CRO,False,"A(225aa,CRO)",A=225,False
1EMK,1,A,221,222.0,True,CCY,False,"A(221aa,CCY)",A=221,False
1EML,1,A,220,221.0,True,GYS,False,"A(220aa,GYS)",A=220,False
1EMM,1,A,220,221.0,True,GYS,False,"A(220aa,GYS)",A=220,False
1F09,1,A,225,226.0,True,CR2,False,"A(225aa,CR2)",A=225,False
1F0B,1,A,225,226.0,True,CR2,False,"A(225aa,CR2)",A=225,False
1G7K,4,A,217,218.0,True,CRQ,True,"A(217aa,CRQ);B(217aa,CRQ);C(217aa,CRQ);D(217aa,CRQ)",A=217;B=217;C=217;D=217,False
1GFL,2,A,230,230.0,False,,False,,A=230;B=230,False
1GGX,4,A,216,217.0,True,CRQ,True,"A(216aa,CRQ);B(216aa,CRQ);C(216aa,CRQ);D(216aa,CRQ)",A=216;B=216;C=216;D=216,False
1H6R,3,A,228,229.0,True,PIA,True,"A(228aa,PIA);B(228aa,PIA);C(228aa,PIA)",A=228;B=228;C=228,False
1HCJ,4,C,226,228.0,True,GYS,True,"A(225aa,GYS);B(225aa,GYS);C(226aa,GYS);D(225aa,GYS)",A=225;B=225;C=226;D=225,False
1HUY,1,A,230,231.0,True,CRO,False,"A(230aa,CRO)",A=230,False
1JBY,1,A,223,224.0,True,CRO,False,"A(223aa,CRO)",A=223,False
1JBZ,1,A,223,224.0,True,CRO,False,"A(223aa,CRO)",A=223,False
1JC0,3,A,225,226.0,True,CRO,True,"A(225aa,CRO);B(225aa,CRO);C(225aa,CRO)",A=225;B=225;C=225,False
1JC1,3,A,226,227.0,True,CRO,True,"A(226aa,CRO);B(225aa,CRO);C(225aa,CRO)",A=226;B=225;C=225,False
1KP5,2,A,242,243.0,True,GYS,True,"A(242aa,GYS);B(242aa,GYS)",A=242;B=242,False
1KYP,1,A,225,226.0,True,CRG,False,"A(225aa,CRG)",A=225,False
1KYR,1,A,224,225.0,True,CRG,False,"A(224aa,CRG)",A=224,False
1KYS,1,A,224,225.0,True,CRG,False,"A(224aa,CRG)",A=224,False
1MOU,1,A,218,219.0,True,CRQ,False,"A(218aa,CRQ)",A=218,False
1MOV,1,A,218,219.0,True,CRQ,False,"A(218aa,CRQ)",A=218,False
1MYW,1,A,228,229.0,True,CR2,False,"A(228aa,CR2)",A=228,False
1Q4A,1,A,226,227.0,True,CRO,False,"A(226aa,CRO)",A=226,False
1Q4B,1,A,226,227.0,True,CRO,False,"A(226aa,CRO)",A=226,False
1Q4C,1,A,226,227.0,True,CRO,False,"A(226aa,CRO)",A=226,False
1Q4D,1,A,225,226.0,True,CRO,False,"A(225aa,CRO)",A=225,False
1Q4E,1,A,226,227.0,True,CRO,False,"A(226aa,CRO)",A=226,False
1Q73,1,A,226,227.0,True,CRO,False,"A(226aa,CRO)",A=226,False
1QXT,1,A,226,226.0,False,,False,,A=226,False
1QY3,1,A,227,227.0,False,,False,,A=227,False
1QYF,1,A,224,225.0,True,CRO,False,"A(224aa,CRO)",A=224,False
1QYO,1,A,236,236.0,False,,False,,A=236,False
1QYQ,1,A,224,225.0,False,,False,,A=224,False
1RM9,1,A,223,225.0,True,4F3,False,"A(223aa,4F3)",A=223,False
1RMM,1,A,224,226.0,True,CRO,False,"A(224aa,CRO)",A=224,False
1RMO,1,A,222,224.0,True,CRO,False,"A(222aa,CRO)",A=222,False
1RMP,1,A,222,224.0,True,CRO,False,"A(222aa,CRO)",A=222,False
1RRX,1,A,216,226.0,False,,False,,A=216,False
1S6Z,1,A,226,227.0,True,CR0,False,"A(226aa,CR0)",A=226,False
1UIS,2,A,224,225.0,True,NRQ,True,"A(224aa,NRQ);B(224aa,NRQ)",A=224;B=224,False
1W7S,4,A,227,228.0,True,GYS,True,"A(227aa,GYS);B(226aa,GYS);C(227aa,GYS);D(227aa,GYS)",A=227;B=226;C=227;D=227,False
1W7T,4,A,226,228.0,True,GYS,True,"A(226aa,GYS);B(225aa,GYS);C(226aa,GYS);D(226aa,GYS)",A=226;B=225;C=226;D=226,False
1W7U,4,A,226,228.0,True,GYS,True,"A(226aa,GYS);B(225aa,GYS);C(226aa,GYS);D(226aa,GYS)",A=226;B=225;C=226;D=226,False
1XA9,1,A,224,225.0,True,CH6,False,"A(224aa,CH6)",A=224,False
1XAE,2,A,219,223.0,True,CH7,True,"A(219aa,CH7);B(218aa,CH7)",A=219;B=218,False
1XMZ,4,C,165,166.0,True,CRK,True,"C(165aa,CRK);D(165aa,CRK)",A=59;C=165;B=66;D=165,False
1XQM,1,A,227,228.0,True,CH6,False,"A(227aa,CH6)",A=227,False
1XSS,2,B,224,225.0,True,DYG,True,"A(223aa,DYG);B(224aa,DYG)",A=223;B=224,False
1YFP,2,A,224,225.0,True,CRO,True,"A(224aa,CRO);B(224aa,CRO)",A=224;B=224,False
1YHG,2,A,226,226.0,False,,False,,A=226;B=224,False
1YHH,1,A,229,229.0,False,,False,,A=229,False
1YHI,1,A,227,227.0,False,,False,,A=227,False
1YJ2,1,A,223,224.0,True,CRX,False,"A(223aa,CRX)",A=223,False
1YJF,1,A,225,226.0,False,,False,,A=225,False
1YZW,4,A,220,221.0,True,CRU,True,"A(220aa,CRU);B(220aa,CRU);C(220aa,CRU);D(220aa,CRU)",A=220;B=220;C=220;D=220,False
1Z1P,1,A,226,227.0,True,CR0,False,"A(226aa,CR0)",A=226,False
1Z1Q,1,A,226,227.0,True,CR0,False,"A(226aa,CR0)",A=226,False
1ZGO,4,A,217,218.0,True,CRQ,True,"A(217aa,CRQ);B(217aa,CRQ);C(217aa,CRQ);D(217aa,CRQ)",A=217;B=217;C=217;D=217,False
1ZGP,4,A,217,218.0,True,CRQ,True,"A(217aa,CRQ);B(217aa,CRQ);C(217aa,CRQ);D(217aa,CRQ)",A=217;B=217;C=217;D=217,False
