pdb_id,qy_fpbase,qy_source,qy_match_identity,qy_fpbase_name,color_class
1C4F,0.64,pdb,1.0,GFP (S65T),green
1EMA,0.64,pdb,1.0,GFP (S65T),green
1EMB,0.85,seq,0.9915,sg12,green
1EMC,0.84,pdb,1.0,sg11,green
1EME,0.84,seq,0.9958,sg11,green
1EMF,0.25,pdb,1.0,sg50,blue
1EMG,0.64,pdb,1.0,GFP (S65T),green
1EMK,0.76,pdb,1.0,sg25,green
1EML,0.84,seq,0.9958,sg11,green
1EMM,0.85,pdb,1.0,sg12,green
1G7K,0.68,pdb,1.0,DsRed,red
1GFL,0.79,pdb,1.0,avGFP,green
1GGX,0.68,pdb,1.0,DsRed,red
1HCJ,0.79,seq,0.9916,avGFP,green
1HUY,0.76,pdb,1.0,Citrine,green
1JBY,0.16,pdb,1.0,deGFP1,green
1JBZ,0.16,pdb,1.0,deGFP1,green
1MOU,0.004,pdb,1.0,Rtms5,green
1MOV,0.004,seq,0.9908,Rtms5,
1MYW,0.57,pdb,1.0,Venus,yellow
1Q4A,0.64,pdb,1.0,GFP (S65T),green
1Q4B,0.64,pdb,1.0,GFP (S65T),green
1QY3,0.72,seq,0.9913,Folding Reporter GFP,green
1RM9,0.4,seq,0.9915,ECFP,green
1RMM,0.14,seq,0.9956,CGFP,green
1RMO,0.6,seq,0.9958,EGFP,green
1RMP,0.14,seq,0.9912,CGFP,green
1RRX,0.14,seq,0.9956,CGFP,green
1S6Z,0.85,seq,0.9957,sg12,green
1UIS,0.45,pdb,1.0,eqFP611,red
1W7S,0.79,seq,0.9958,avGFP,green
1W7T,0.79,seq,0.9916,avGFP,green
1W7U,0.79,seq,0.9916,avGFP,green
1XAE,0.42,pdb,1.0,zFP538,yellow
1XQM,0.001,pdb,1.0,asulCP,green
1XSS,0.68,pdb,1.0,KikG,
1YFP,0.67,seq,0.9911,EYFP,yellow
1YZW,0.015,pdb,1.0,HcRed,red
1Z1P,0.85,seq,0.9957,sg12,green
1Z1Q,0.85,seq,0.9957,sg12,green
1ZGO,0.68,pdb,1.0,DsRed,red
1ZGP,0.68,seq,0.991,DsRed,red
1ZGQ,0.68,seq,0.9955,DsRed,red
1ZUX,0.7,seq,0.9955,EosFP,green
2A46,0.24,pdb,1.0,amFP486,cyan
2A47,0.006,pdb,1.0,amFP515,
2A48,0.67,pdb,1.0,amFP506,
2B3P,0.65,pdb,1.0,Superfolder GFP,green
2B3Q,0.72,pdb,1.0,Folding Reporter GFP,green
2BTJ,0.7,seq,1.0,EosFP,green
2DD7,0.53,pdb,1.0,CpYGFP,green
2DD9,0.53,seq,0.9907,CpYGFP,green
2EMD,0.24,pdb,1.0,sg42,blue
2EMN,0.85,seq,0.9958,sg12,blue
2EMO,0.25,seq,0.9958,sg50,blue
2G3O,0.6,pdb,1.0,ppluGFP2,green
2G6X,0.53,pdb,1.0,TurboGFP,green
2G6Y,0.53,seq,0.9954,TurboGFP,green
2GW3,0.88,seq,0.9955,Kaede,green
2GX0,0.85,pdb,1.0,Dronpa,green
2H5O,0.69,pdb,1.0,mOrange,orange
2H5P,0.29,seq,0.9915,mStrawberry,red
2H5Q,0.22,pdb,1.0,mCherry,red
2H5R,0.29,pdb,1.0,mStrawberry,red
2H6V,0.67,seq,0.9957,EYFP,green
2H8Q,0.68,seq,0.9908,DsRed,red
2H9W,0.67,seq,0.9957,EYFP,green
2HQK,0.85,pdb,1.0,mTFP1,cyan
2IB5,0.0001,pdb,1.0,cjBlue,
2IB6,0.0001,seq,0.9957,cjBlue,
2IE2,0.85,pdb,1.0,Dronpa,green
2IOV,0.85,pdb,1.0,Dronpa,green
2O24,0.67,seq,0.9957,EYFP,green
2O29,0.67,seq,0.9957,EYFP,green
2O2B,0.67,seq,0.9957,EYFP,green
2OJK,0.63,pdb,1.0,ZsGreen,green
2OTB,0.5,pdb,1.0,mTFP0.7,cyan
2OTE,0.5,pdb,1.0,mTFP0.7,cyan
2POX,0.85,pdb,1.0,Dronpa,green
2PXS,0.63,seq,0.9956,ZsGreen,green
2PXW,0.63,seq,0.9956,ZsGreen,green
2Q57,0.62,pdb,1.0,Cerulean,green
2Q6P,0.65,pdb,1.0,Superfolder GFP,green
2QLG,0.1,pdb,1.0,mPlum,red
2V4E,0.41,pdb,1.0,DsRed-Max,red
2VAD,0.14,pdb,1.0,DsRed.M1,red
2VAE,0.44,pdb,1.0,DsRed.T4,red
2VVH,0.43,pdb,1.0,IrisFP,
2VVI,0.43,pdb,1.0,IrisFP,
2VVJ,0.43,pdb,1.0,IrisFP,
2VZX,0.5,pdb,1.0,Dendra2,green
2WHS,0.24,pdb,1.0,mKeima,red
2WHT,0.24,pdb,1.0,mKeima,red
2WHU,0.24,pdb,1.0,mKeima,red
2WIQ,0.25,pdb,1.0,KillerRed,
2WSN,0.4,pdb,1.0,ECFP,cyan
2WSO,0.62,pdb,1.0,Cerulean,cyan
2Y0G,0.6,pdb,1.0,EGFP,green
2YDZ,0.56,pdb,1.0,SCFP3A,cyan
2YE0,0.84,seq,0.9958,mTurquoise,cyan
2YE1,0.82,pdb,1.0,Turquoise-GL,cyan
2Z1O,0.85,seq,0.9955,Dronpa,green
2Z6Y,0.85,seq,0.9955,Dronpa,green
2Z6Z,0.85,seq,0.9955,Dronpa,green
2ZMU,0.6,seq,0.9953,mKO,green
2ZMW,0.6,seq,0.9953,mKO,green
2ZO6,0.85,pdb,1.0,KCY,
2ZO7,0.75,pdb,1.0,KCY-R1,
3A8S,0.25,seq,0.9957,KillerRed,
3ADF,0.81,pdb,1.0,mAzamiGreen,green
3BX9,0.33,pdb,1.0,mKate,
3BXA,0.33,pdb,1.0,mKate,
3BXB,0.33,pdb,1.0,mKate,
3BXC,0.33,pdb,1.0,mKate,
3CGL,0.46,pdb,1.0,dsFP483,cyan
3DPW,0.76,pdb,1.0,Citrine,yellow
3E5T,0.42,pdb,1.0,eqFP611 V124T,red
3E5V,0.35,pdb,1.0,RFP630,red
3GB3,0.25,pdb,1.0,KillerRed,
3GEX,0.51,seq,0.9958,CyPet,cyan
3GL4,0.25,seq,0.9957,KillerRed,
3I19,0.51,seq,0.9958,CyPet,cyan
3IP2,0.18,pdb,1.0,Neptune,red
3IR8,0.24,pdb,1.0,mKeima,red
3KCS,0.46,seq,0.9957,PAmCherry1,red
3KCT,0.46,seq,0.9957,PAmCherry1,red
3LA1,0.51,seq,0.9916,CyPet,cyan
3LF4,0.9,pdb,1.0,Blue102,green
3LVA,0.55,pdb,1.0,aceGFP,green
3LVC,0.55,seq,0.9915,AcGFP1,green
3LVD,0.55,seq,0.9915,AcGFP1,green
3MGF,0.6,pdb,1.0,mKO,green
3NED,0.02,pdb,1.0,mRouge,
3NEZ,0.02,pdb,1.0,mRojoA,red
3OGO,0.14,seq,0.9915,CGFP,green
3P8U,0.64,pdb,1.0,mEosFP,green
3PJ5,0.34,pdb,1.0,Katushka,red
3PJ7,0.34,pdb,1.0,Katushka,red
3RWA,0.33,pdb,1.0,cp-mKate,red
3S05,0.84,pdb,1.0,mEos2,green
3ST2,0.41,pdb,1.0,Dreiklang,
3ST3,0.41,pdb,1.0,Dreiklang,
3ST4,0.41,pdb,1.0,Dreiklang,
3TMR,0.43,pdb,1.0,IrisFP,green
3TMT,0.43,pdb,1.0,IrisFP,
3U0K,0.14,pdb,1.0,RCaMP,red
3U0L,0.35,pdb,1.0,mRuby,red
3U0M,0.35,pdb,1.0,mRuby,red
3U0N,0.35,pdb,1.0,mRuby,red
3V3D,0.75,pdb,1.0,SHardonnay,yellow
3W1C,0.67,seq,0.9958,EYFP,yellow
3W1D,0.67,seq,0.9958,EYFP,yellow
3WCK,0.3,seq,0.9957,SuperNova Red,
3ZTF,0.93,pdb,1.0,mTurquoise2,cyan
3ZUL,0.61,pdb,1.0,Padron0.9,yellow
4ANJ,0.6,seq,0.9916,Topaz,green
4AR7,0.84,pdb,1.0,mTurquoise,cyan
4AS8,0.62,seq,1.0,Cerulean,cyan
4B30,0.25,seq,0.9958,KillerRed,
4B5Y,0.82,seq,1.0,Turquoise-GL,cyan
4BDU,0.39,seq,0.9913,GFPmut3,green
4DKM,0.0015,pdb,1.0,bfloGFPc1,green
4EDO,0.24,pdb,1.0,eqFP650,red
4EDS,0.06,pdb,1.0,eqFP670,red
4EMQ,0.85,seq,0.9955,Dronpa,green
4EN1,0.87,pdb,1.0,mCerulean3,cyan
4EUL,0.6,pdb,1.0,EGFP,green
4GES,0.79,seq,0.9916,αGFP,green
4H3L,0.14,pdb,1.0,mPlum-E16P,red
4H47,0.51,seq,0.9958,CyPet,cyan
4H48,0.51,seq,0.9958,CyPet,cyan
4HE4,0.6,pdb,1.0,phiYFP,yellow
4HQ8,0.85,pdb,1.0,pcDronpa,green
4HQ9,0.85,pdb,1.0,pcDronpa,green
4HQC,0.85,pdb,1.0,pcDronpa,green
4IZN,0.85,seq,0.991,pcDronpa,green
4J88,0.92,seq,0.9918,YuzuFP,green
4J89,0.92,seq,0.9918,YuzuFP,green
4J8A,0.92,seq,0.9919,YuzuFP,green
4JEO,0.1,seq,1.0,laRFP,red
4JF9,0.1,pdb,1.0,laRFP,red
4JFG,0.7,seq,0.9958,vsfGFP-9,green
4JGE,0.1,pdb,1.0,lanRFP-ΔS83l,red
4JRB,0.39,seq,1.0,GFPmut3,green
4KA9,0.14,seq,0.9915,CGFP,green
4KAG,0.6,seq,1.0,EGFP,green
4KEX,0.6,seq,1.0,EGFP,green
4LJB,0.43,pdb,1.0,IrisFP,
4LJC,0.43,pdb,1.0,IrisFP,
4LJD,0.43,pdb,1.0,IrisFP,
4N3D,0.14,seq,0.9913,CGFP,green
4NWS,0.21,pdb,1.0,PSLSSmKate,red
4OHS,0.04,seq,1.0,AQ143,red
4OQW,0.19,pdb,1.0,mCardinal,red
4P76,0.7,pdb,1.0,KikGR1,red
4PFE,0.76,pdb,1.0,vsfGFP-0,green
4Q7R,0.45,pdb,1.0,LSSmOrange,orange
4Q7T,0.51,pdb,1.0,PSmOrange,orange
4Q7U,0.61,pdb,1.0,PSmOrange2,orange
4R6B,0.18,pdb,1.0,IrisFP-M159A,
4U2V,0.39,seq,0.9957,GFPmut3,green
4XL5,0.6,seq,0.9958,EGFP,green
4XVP,0.6,seq,0.9958,EGFP,green
4Z4K,0.39,seq,1.0,GFPmut3,green
4Z4M,0.39,seq,1.0,GFPmut3,green
4ZBL,0.5,pdb,1.0,mKillerOrange,orange
4ZFS,0.42,pdb,1.0,KillerOrange,
4ZIO,0.22,seq,0.9908,mCherry,
5BT0,0.7,seq,0.9913,vsfGFP-9,green
