pdb_id,protein_id,oligomeric_state
1B9C,gfphal,
1BFP,seqclust_1,weak_dimer
1C4F,gfp-s65t,dimer
1CV7,enhanced-cyan-emitting-gfp,
1EMA,gfp-s65t,dimer
1EMB,sg12,
1EMC,sg11,
1EME,sg11,
1EMF,sg50,dimer
1EMG,gfp-s65t,dimer
1EMK,sg25,
1EML,sg11,
1EMM,sg12,
1F09,seqclust_2,
1F0B,seqclust_2,
1G7K,dsred,tetramer
1GFL,avgfp,dimer
1GGX,dsred,tetramer
1H6R,avgfp523,
1HCJ,q80r,dimer
1HUY,citrine,weak_dimer
1JBY,degfp1,
1JBZ,degfp1,
1JC0,rogfp1,
1JC1,rogfp2,
1KP5,seqclust_3,
1KYP,bfpsol,
1KYR,bfpsol,
1KYS,bfpsol,
1MOU,rtms5,tetramer
1MOV,rtms5,tetramer
1MYW,venus,weak_dimer
1Q4A,gfp-s65t,dimer
1Q4B,gfp-s65t,dimer
1Q4C,seqclust_4,
1Q4D,seqclust_4,
1Q4E,seqclust_5,
1Q73,seqclust_6,
1QXT,seqclust_7,
1QY3,folding-reporter-gfp,dimer
1QYF,seqclust_8,
1QYO,seqclust_9,
1QYQ,bfpsol,
1RM9,avgfp480,monomer
1RMM,avgfp510,
1RMO,egfp,weak_dimer
1RMP,avgfp509,
1RRX,3-ftyr-egfp,
1S6Z,sg12,
1UIS,eqfp611,tetramer
1W7S,q80r,dimer
1W7T,q80r,dimer
1W7U,q80r,dimer
1XA9,zfp538,
1XAE,zfp538,tetramer
1XMZ,pdb_1XMZ,
1XQM,asulcp,
1XSS,kikg,tetramer
1YFP,eyfp,weak_dimer
1YHG,seqclust_10,
1YHH,seqclust_11,
1YHI,gfphal,
1YJ2,gfphal,
1YJF,gfphal,
1YZW,hcred,tetramer
1Z1P,sg12,
1Z1Q,sg12,
1ZGO,dsred,tetramer
1ZGP,seqclust_12,tetramer
1ZGQ,seqclust_13,tetramer
1ZUX,seqclust_14,tetramer
2A46,amfp486,tetramer
2A47,amfp515,tetramer
2A48,amfp506,tetramer
2A50,pdb_2A50,
2A52,pdb_2A52,
2A53,pdb_2A53,
2A54,pdb_2A54,
2A56,pdb_2A56,
2AH8,rogfp1-r1,
2AHA,rogfp1-r8,
2ARL,seqclust_15,
2AWJ,seqclust_16,
2AWK,seqclust_17,
2AWL,seqclust_18,
2AWM,seqclust_19,
2B3P,superfolder-gfp,weak_dimer
2B3Q,folding-reporter-gfp,dimer
2BTJ,eosfp,tetramer
2C9I,asfp499,
2C9J,seqclust_20,
2DD7,cpygfp,dimer
2DD9,cpygfp,dimer
2DDC,seqclust_21,
2DDD,seqclust_21,
2DUE,seqclust_22,
2DUF,seqclust_22,
2DUG,seqclust_23,
2DUH,seqclust_23,
2DUI,seqclust_22,
2EMD,sg42,dimer
2EMN,sg12,dimer
2EMO,sg50,dimer
2FL1,zoan2rfp,
2FWQ,bfpsol,
2FZU,bfpsol,
2G16,pdb_2G16,
2G2S,pdb_2G2S,
2G3D,pdb_2G3D,
2G3O,pplugfp2,monomer
2G5Z,pdb_2G5Z,
2G6E,bfpsol,
2G6X,turbogfp,dimer
2G6Y,turbogfp,dimer
2GW3,kaede,tetramer
2GW4,pdb_2GW4,tetramer
2GX0,dronpa,monomer
2GX2,dronpa-c62s,
2H5O,morange,monomer
2H5P,seqclust_24,monomer
2H5Q,mcherry,monomer
2H5R,mstrawberry,monomer
2H6V,eyfp,weak_dimer
2H8Q,seqclust_25,tetramer
2H9W,eyfp,weak_dimer
2HCG,bfpsol,
2HFC,seqclust_26,
2HGD,gfphal,
2HGY,gfphal,
2HJO,seqclust_27,
2HPW,seqclust_28,
2HQK,mtfp1,monomer
2HQZ,seqclust_29,
2HRS,seqclust_30,
2IB5,cjblue,tetramer
2IB6,cjblue,tetramer
2ICR,zoan2rfp,
2IE2,dronpa,monomer
2IOV,dronpa,monomer
2JAD,seqclust_31,
2O24,eyfp,weak_dimer
2O29,eyfp,weak_dimer
2O2B,eyfp,weak_dimer
2OGR,zfp538,
2OJK,zsgreen,tetramer
2OKW,egfp205c,
2OKY,egfp203c,
2OTB,mtfp07,monomer
2OTE,mtfp07,monomer
2P4M,seqclust_32,
2POX,dronpa,monomer
2PXS,zsgreen,tetramer
2PXW,zsgreen,tetramer
2Q57,cerulean,weak_dimer
2Q6P,superfolder-gfp,weak_dimer
2QLE,seqclust_33,
2QLG,mplum,monomer
2QLH,seqclust_34,monomer
2QLI,seqclust_35,monomer
2QRF,seqclust_36,
2QT2,seqclust_37,
2QU1,gfphal,
2QZ0,seqclust_38,
2RH7,rrgfp,
2V4E,dsred-max,tetramer
2VAD,dsredm1,monomer
2VAE,dsredt4,tetramer
2VVH,irisfp,tetramer
2VVI,irisfp,tetramer
2VVJ,irisfp,tetramer
2VZX,dendra2,monomer
2WHS,mkeima,monomer
2WHT,mkeima,monomer
2WHU,mkeima,monomer
2WIQ,killerred,dimer
2WIS,seqclust_39,
2WSN,ecfp,monomer
2WSO,cerulean,weak_dimer
2WUR,p11,
2Y0G,egfp,weak_dimer
2YDZ,scfp3a,monomer
2YE0,mturquoise,monomer
2YE1,turquoise-gl,monomer
2YFP,seqclust_40,
2Z1O,dronpa,monomer
2Z6X,22g,
2Z6Y,dronpa,monomer
2Z6Z,dronpa,monomer
2ZMU,mko,monomer
2ZMW,mko,monomer
3A8S,killerred,dimer
3ADF,mazamigreen,
3AI4,yegfp,
3AI5,yegfp,
3CB9,seqclust_41,
3CBE,seqclust_41,
3CD1,seqclust_42,
3CD9,seqclust_42,
3CFA,seqclust_43,
3CFF,seqclust_44,
3CFH,seqclust_44,
3CGL,dsfp483,tetramer
3DPW,citrine,weak_dimer
3DPX,10b,weak_dimer
3DPZ,10b,weak_dimer
3DQ1,10b,weak_dimer
3DQ2,10b,weak_dimer
3DQ3,10b,weak_dimer
3DQ4,10b,weak_dimer
3DQ5,10b,weak_dimer
3DQ6,10b,weak_dimer
3DQ7,10b,weak_dimer
3DQ8,10b,weak_dimer
3DQ9,10b,weak_dimer
3DQA,10b,weak_dimer
3DQC,10b,weak_dimer
3DQD,10b,weak_dimer
3DQE,10b,weak_dimer
3DQF,10b,weak_dimer
3DQH,10b,weak_dimer
3DQI,10b,weak_dimer
3DQJ,10b,weak_dimer
3DQK,10b,weak_dimer
3DQL,10b,weak_dimer
3DQM,10b,weak_dimer
3DQN,10b,weak_dimer
3DQO,10b,weak_dimer
3DQU,10b,weak_dimer
3E5T,eqfp611-v124t,dimer
3E5V,rfp630,tetramer
3E5W,seqclust_45,tetramer
3ED8,seqclust_46,
3EVP,cegfp,
3EVR,gcamp2,
3G9A,gfphal,
3GB3,killerred,dimer
3GEX,cypet,weak_dimer
3GJ1,c3pa-gfp,
3GJ2,c3pa-gfp,
3GL4,killerred,dimer
3H1O,seqclust_47,
3H1R,seqclust_47,
3I19,cypet,weak_dimer
3IP2,neptune,dimer
3IR8,mkeima,monomer
3K1K,gfphal,
3KCS,seqclust_48,monomer
3KCT,seqclust_48,monomer
3LA1,cypet,weak_dimer
3LF3,seqclust_49,
3LF4,blue102,
3LVA,acegfp,monomer
3LVC,acgfp1,weak_dimer
3LVD,acgfp1,weak_dimer
3MGF,mko,monomer
3NED,mrouge,monomer
3NEZ,mrojoa,monomer
3NF0,seqclust_50,monomer
3OGO,rsgfp7,
3P28,seqclust_51,
3P8U,meosfp,monomer
3PIB,seqclust_52,
3PJ5,katushka,dimer
3PJ7,katushka,dimer
3PJB,seqclust_53,
3RWA,cp-mkate,monomer
3RWT,seqclust_54,
3S05,meos2,weak_dimer
3SRY,seqclust_55,
3SS0,seqclust_55,
3SSH,seqclust_55,
3SSK,seqclust_55,
3SSL,seqclust_55,
3SSP,seqclust_56,
3SST,seqclust_56,
3SSV,seqclust_56,
3SSY,seqclust_56,
3ST0,clomeleon,
3SV5,clomeleon,
3SVB,clomeleon,
3SVC,clomeleon,
3SVD,clomeleon,
3SVE,seqclust_56,
3TMR,irisfp,tetramer
3TMT,irisfp,tetramer
3U0K,rcamp,
3U0L,mruby,monomer
3U0M,mruby,monomer
3U0N,mruby,monomer
3U8P,seqclust_57,
3UFZ,trp-less-gfp,
3UG0,trp-less-gfp,
3V3D,shardonnay,monomer
3VHT,yegfp,
3VIC,seqclust_58,
3VK1,seqclust_59,
3W1C,meyfp,weak_dimer
3W1D,eyfp,weak_dimer
3WCK,mkillerorange,monomer
3ZTF,mturquoise2,monomer
3ZUF,seqclust_60,monomer
3ZUJ,seqclust_61,monomer
3ZUL,padron09,monomer
4ANJ,topaz,weak_dimer
4AR7,mturquoise,monomer
4AS8,cerulean,weak_dimer
4B30,a44-kr,dimer
4B5Y,turquoise-gl,monomer
4BDU,mgfpmut3,weak_dimer
4DKM,bflogfpc1,dimer
4DKN,seqclust_62,
4EDO,eqfp650,dimer
4EDS,eqfp670,dimer
4EMQ,pdm1-4,monomer
4EN1,mcerulean3,monomer
4EUL,egfp,weak_dimer
4GES,gfp-tyr151pyz,dimer
4GF6,gfp-151pytyrcu,
4H3L,mplum-e16p,monomer
4H3M,seqclust_63,monomer
4H3N,seqclust_64,monomer
4H47,cypet,weak_dimer
4H48,cypet,weak_dimer
4HE4,phiyfp,dimer
4HQ8,pcdronpa,tetramer
4HQ9,pcdronpa,tetramer
4HQC,pcdronpa,tetramer
4HVF,lagfp,
4IK1,seqclust_65,
4IK3,seqclust_66,
4IK4,seqclust_66,
4IK5,seqclust_67,
4IK8,seqclust_66,
4IK9,seqclust_66,
4IZN,pcdronpa,tetramer
4J88,seqclust_68,monomer
4J89,seqclust_68,monomer
4J8A,yuzufp,monomer
4JC2,seqclust_69,
4JEO,larfp,
4JF9,larfp,
4JFG,superfolder-bfp,monomer
4JGE,lanrfp-deltas83l,dimer
4JRB,gfpmut3,weak_dimer
4KA9,cgfp,
4KAG,egfp,weak_dimer
4KEX,egfp,weak_dimer
4KF4,sfcherry,
4KF5,tripartitegfp,
4KPI,seqclust_70,weak_dimer
4KW4,seqclust_71,
4KW8,seqclust_71,
4KW9,seqclust_71,
4L12,seqclust_72,
4L13,seqclust_72,
4L1I,seqclust_72,
4LJB,irisfp,tetramer
4LJC,irisfp,tetramer
4LJD,irisfp,tetramer
4LQT,seqclust_73,
4LQU,seqclust_74,
4LW5,seqclust_75,
4N3D,cgfp,
4NDJ,seqclust_76,
4NDK,seqclust_77,
4NWS,pslssmkate,monomer
4OGS,seqclust_78,
4OHS,aq143,tetramer
4OJ0,seqclust_79,monomer
4OQW,mcardinal,monomer
4ORN,seqclust_80,
4OY4,seqclust_81,
4P1Q,seqclust_82,
4P76,kikgr1,tetramer
4P7H,seqclust_83,
4PA0,seqclust_84,
4PFE,vsfgfp-0,dimer
4Q7R,lssmorange,monomer
4Q7T,psmorange,monomer
4Q7U,psmorange2,monomer
4Q9W,mtfp,
4Q9X,seqclust_85,
4R6B,irisfp-m159a,tetramer
4R6D,seqclust_86,
4U2V,mgfpmut3,weak_dimer
4UTS,seqclust_87,monomer
4XBI,seqclust_88,
4XGY,seqclust_89,
4XL5,egfp,weak_dimer
4XOV,seqclust_90,
4XOW,seqclust_90,
4XVP,egfp,weak_dimer
4Z4K,gfpmut3,weak_dimer
4Z4M,gfpmut3,weak_dimer
4ZB1,sgbp,
4ZBL,mkillerorange,monomer
4ZF3,seqclust_91,
4ZF4,seqclust_92,
4ZF5,seqclust_92,
