uniprot_id,label,n_crystal,crystal_pdb,resolution,af_minor,af_major,af_ecc,af_circ,af_blen,af_area,af_plddt,cry_minor,cry_major,cry_ecc,cry_circ,cry_blen,cry_area,em_max
Q9U6Y3,cFP484,11,4Q9W,1.0,27.78,40.65,0.73,0.812,115.6,882.4,89.9,28.910633392479863,34.043052665000374,0.5280112171786069,0.91656387750573,49.22765907302766,722.4903602640256,492.0
B1PNC0,LanYFP,2,5LTR,1.21,30.81,32.62,0.328,0.918,48.7,691.0,97.5,30.177592231590094,35.2434354232733,0.516542805121828,0.9480307962870764,48.80362920598298,691.1298348783915,507.0
Q2MHN7,CpYGFP,2,2DD7,1.9,29.58,33.16,0.452,0.904,46.9,694.1,97.1,30.05533479312484,32.24107182275531,0.3619269992577572,0.9165980039099428,46.56101376784831,681.2513185116861,507.0
P42212,GFP_AEQVI,465,6L27,0.77,31.01,32.08,0.256,0.929,53.8,685.5,96.6,31.120387454650537,32.68479274091968,0.3056728539195795,0.9012565948327774,45.72008750772324,736.0393872471627,507.0
P83690,NFCP_MONEF,6,2P4M,1.8,26.94,35.42,0.649,0.91,48.7,688.7,98.0,26.444506340675748,34.40318733739074,0.6396522461681906,0.9020199829561684,46.60398249180479,690.9918846252822,585.0
Q8ISF8,RFP_ENTQU,13,3E5T,1.1,29.63,32.44,0.407,0.908,48.9,701.6,97.7,30.46878238851727,32.64575281042902,0.3590577213527204,0.9222935320998454,48.00178779188461,746.4841481917591,611.0
Q95W85,NFCP_RADCR,3,6DEJ,1.6279,29.01,34.4,0.538,0.889,49.8,732.7,97.7,29.894852399396672,33.94448115699542,0.4736773336166675,0.8805120443967833,49.60325242070567,761.149333425405,637.0
Q9GZ28,NFCP_ANESU,10,2A50,1.3,29.28,34.61,0.533,0.903,48.6,699.5,96.7,25.5046300255851,30.78988640740925,0.5602192005411631,0.8163006589147814,47.49014707456399,519.4389321831155,
Q9U6Y4,GFPL2_ZOASP,6,2OGR,1.8,26.33,33.64,0.622,0.896,49.2,650.1,96.5,27.11312383571344,33.777978821385524,0.5964013426303321,0.9207177331623722,47.74884922130673,672.4335001612918,527.0
Q9U6Y8,RFP_DISSP,22,2H5O,1.08,26.85,33.48,0.597,0.879,58.4,650.3,96.5,28.67781329092361,34.20328623532267,0.544975473055233,0.9144330055664628,50.19411349392141,676.9726455978508,562.0
Q9U6Y6,GFPL_ANEMA,3,2A46,1.65,26.94,33.13,0.582,0.912,51.1,628.0,96.5,28.13142980112405,31.892385748624505,0.471111726349305,0.905066537857626,47.38098963756603,673.4002077096601,476.0
Q9U6Y7,GFPL_DISST,1,3CGL,2.09,27.57,33.74,0.576,0.905,56.7,680.5,96.0,28.319530371309828,32.95155596158403,0.5112547294802152,0.8975521996552794,53.92995845235851,661.5405849309066,476.0
D7PM05,D7PM05_CLYGR,1,2HPW,1.55,30.03,31.29,0.281,0.935,53.8,675.1,97.0,30.21231165087275,31.216685161370428,0.251621387147507,0.930599444654682,46.55026841953502,698.6332790190019,507.0
Q9U6Y5,GFPL1_ZOASP,4,2ICR,1.51,26.93,32.47,0.559,0.883,49.2,621.9,96.9,27.78337043053571,33.5267529692348,0.5597040795128722,0.9247255786517428,47.91245558331805,662.8866200274565,583.0
A0A0M3KL34,A0A0M3KL34_STIGI,1,4ZB1,2.25,29.81,36.95,0.591,0.917,48.5,822.7,97.7,30.08228130325926,35.21580192273868,0.5199005650855419,0.916429934172336,48.37450808014902,792.9819439011459,
